kernel,waitcnt_line,waitcnt_kind,original_hazards,mutant_hazards,new_hazard_detected,mutant_asm_path
accum_add_64,337,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x128 | [HAZARD] read of v3x32 | [HAZARD] overwrite of v2x32,yes,tests/mutation/mutants/accum_add_64__L337.s
accum_add_8,17,lgkmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x16 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_8__L17.s
accum_add_8,44,lgkmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v6x32 | [HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x2 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_8__L44.s
accum_add_8,53,vmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v15x32 | [HAZARD] read of v14x32,yes,tests/mutation/mutants/accum_add_8__L53.s
accum_add_8,55,vmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v6x64 | [HAZARD] read of v2x32 | [HAZARD] read of v7x32,yes,tests/mutation/mutants/accum_add_8__L55.s
accum_add_8,58,vmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v8x32 | [HAZARD] read of v9x32,yes,tests/mutation/mutants/accum_add_8__L58.s
accum_add_8,60,vmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v6x32 | [HAZARD] read of v2x128 | [HAZARD] read of v3x32 | [HAZARD] overwrite of v2x32,yes,tests/mutation/mutants/accum_add_8__L60.s
accum_and_16,17,lgkmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,[HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x16 | [HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_and_16__L17.s
accum_and_16,49,lgkmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,[HAZARD] read of v6x32 | [HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x18 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_and_16__L49.s
accum_and_16,80,vmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,no,tests/mutation/mutants/accum_and_16__L80.s
accum_and_16,82,vmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,no,tests/mutation/mutants/accum_and_16__L82.s
accum_and_16,85,vmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,no,tests/mutation/mutants/accum_and_16__L85.s
accum_and_16,87,vmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,no,tests/mutation/mutants/accum_and_16__L87.s
accum_and_16,90,vmcnt,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,[HAZARD] read of v6x32 | [HAZARD] read of v4x32 | [HAZARD] read of v2x32,no,tests/mutation/mutants/accum_and_16__L90.s
